"NBNORG0000003981","NBNSYS0000167811"
"NBNORG0000024919","NBNSYS0000170810"
"NBNORG0000024912","NBNSYS0000166018"
"NBNORG0000016794","NBNSYS0000167254"
"NBNORG0000016794","NBNSYS0000167254"
"NBNORG0000024991","NBNSYS0000041965"
"NBNORG0000024919","NBNSYS0000170810"
"NBNORG0000007064","NBNSYS0000170054"
"NBNORG0000007065","NBNSYS0000165422"
"NBNORG0000007070","NBNSYS0000166908"
"NBNORG0000007071","NBNSYS0000167349"
"NBNORG0000007109","NBNSYS0000168901"
"NBNORG0000007075","NHMSYS0000841455"
"NBNORG0000007080","NBNSYS0000167633"
"NBNORG0000007084","NBNSYS0000168214"
"NBNORG0000007092","NBNSYS0100001202"
"NBNORG0000007103","NBNSYS0000168495"
"NBNORG0000025076","NBNSYS0000171064"
"NBNORG0000008672","NBNSYS0000165041"
"NBNORG0000008078","NBNSYS0000170735"
"NBNORG0000007474","NBNSYS0000168350"
"NBNORG0000007475","NBNSYS0000169950"
"NBNORG0000007476","NBNSYS0000170800"
"NBNORG0000007429","NHMSYS0000841702"
"NBNORG0000007430","NBNSYS0000164994"
"NBNORG0000007433","NBNSYS0000165304"
"NBNORG0000007434","NBNSYS0000171361"
"NBNORG0000007435","NBNSYS0000171577"
"NBNORG0000007442","NBNSYS0000170063"
"NBNORG0000007445","NBNSYS0000167280"
"NBNORG0000007451","NBNSYS0000170074"
"NBNORG0000007455","NHMSYS0000841948"
"NBNORG0000007457","NBNSYS0000166149"
"NBNORG0000007453","NBNSYS0000169969"
"NBNORG0000007469","NBNSYS0000165026"
"NBNORG0000007477","NBNSYS0000166089"
"NBNORG0000007480","NBNSYS0000170060"
"NBNORG0000007481","NBNSYS0000169647"
"NBNORG0000007487","NBNSYS0000165155"
"NBNORG0000007490","NHMSYS0000841988"
"NBNORG0000007496","NHMSYS0000841580"
"NBNORG0000025078","NBNSYS0000164806"
"NBNORG0000008136","NBNSYS0000169575"
"NBNORG0000008131","NBNSYS0000166078"
"NBNORG0000008129","NBNSYS0000168861"
"NBNORG0000008009","NBNSYS0000165370"
"NBNORG0000008147","NBNSYS0000166789"
"NBNORG0000008148","NBNSYS0000169423"
"NBNORG0000025093","NBNSYS0000165211"
"NBNORG0000025114","NBNSYS0000166372"
"NBNORG0000007696","NBNSYS0000170162"
"NBNORG0000007694","NBNSYS0000168675"
"NBNORG0000007702","NBNSYS0000170881"
"NBNORG0000007709","NBNSYS0000169424"
"NBNORG0000007710","NBNSYS0000164839"
"NBNORG0000007682","NBNSYS0000165975"
"NBNORG0000007668","NBNSYS0000167091"
"NBNORG0000007662","NBNSYS0000168950"
"NBNORG0000007664","NBNSYS0000166385"
"NBNORG0000007650","NBNSYS0000166657"
"NBNORG0000007651","NBNSYS0000168517"
"NBNORG0000008657","NBNSYS0000164831"
"NBNORG0000008656","NBNSYS0000166191"
"NBNORG0000007673","NBNSYS0000168436"
"NBNORG0000007624","NBNSYS0000170865"
"NBNORG0000007627","NBNSYS0000169088"
"NBNORG0000007618","NBNSYS0000170168"
"NBNORG0000007637","NBNSYS0000165911"
"NBNORG0000007636","NHMSYS0000841806"
"NBNORG0000008100","NBNSYS0000165980"
"NBNORG0000008101","NHMSYS0000533913"
"NBNORG0000008113","NBNSYS0000169139"
"NBNORG0000007615","NBNSYS0000170553"
"NBNORG0000007599","NBNSYS0000169469"
"NBNORG0000007603","NBNSYS0000171330"
"NBNORG0000007604","NBNSYS0000170600"
"NBNORG0000007608","NBNSYS0000168014"
"NBNORG0000007714","NBNSYS0000167069"
"NBNORG0000007719","NBNSYS0000170734"
"NBNORG0000007967","NBNSYS0000170081"
"NBNORG0000007968","NBNSYS0000169208"
"NBNORG0000007609","NHMSYS0000841917"
"NBNORG0000007592","NBNSYS0000171883"
"NBNORG0000008149","NBNSYS0000171781"
"NBNORG0000008152","NBNSYS0000164981"
"NBNORG0000008158","NBNSYS0000170501"
"NBNORG0000008159","NBNSYS0000169289"
"NBNORG0000008160","NBNSYS0000167232"
"NBNORG0000008161","NBNSYS0000167525"
"NBNORG0000007573","NBNSYS0000171204"
"NBNORG0000007535","NBNSYS0000170850"
"NBNORG0000007554","NBNSYS0000170722"
"NBNORG0000007564","NBNSYS0000167424"
"NBNORG0000007547","NBNSYS0000166333"
"NBNORG0000007538","NBNSYS0000167245"
"NBNORG0000007543","NBNSYS0000167774"
"NBNORG0000007533","NBNSYS0000166753"
"NBNORG0000007531","NBNSYS0000169737"
"NBNORG0000007532","NBNSYS0000166408"
"NBNORG0000007527","NBNSYS0000166917"
"NBNORG0000007517","NBNSYS0000167130"
"NBNORG0000007518","NBNSYS0000170741"
"NBNORG0000007523","NBNSYS0000167766"
"NBNORG0000007504","NBNSYS0000169462"
"NBNORG0000007505","NBNSYS0000171795"
"NBNORG0000007503","NBNSYS0000164844"
"NBNORG0000007498","NHMSYS0000841473"
"NBNORG0000007499","NHMSYS0000841830"
"NBNORG0000007500","NHMSYS0000841960"
"NBNORG0000007510","NBNSYS0000167153"
"NBNORG0000007584","NBNSYS0000171770"
"NBNORG0000007585","NBNSYS0000166212"
"NBNORG0000008665","NHMSYS0000841530"
